moiveId,query_title,title,plot
185,Psycho (1960),Psycho,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.
Phoenix office worker Marion Crane is fed up with the way life has treated her. She has to meet her lover Sam in lunch breaks, and they cannot get married because Sam has to give most of his money away in alimony. One Friday, Marion is trusted to bank forty thousand dollars by her employer. Seeing the opportunity to take the money and start a new life, Marion leaves town and heads towards Sam's California store. Tired after the long drive and caught in a storm, she gets off the main highway and pulls into the Bates Motel. The motel is managed by a quiet young man called Norman who seems to be dominated by his mother.::Col Needham <col@imdb.com>
Stressed and under pressure because of stealing a large amount of money from her employer and running away, a partly poor office worker who's committed theft in order to be able to marry the man she loves, gets lost and decides to stay at a motel for the night, regretting what she's done. But on her single night at the motel, she finds out it was a mistake to choose this motel, as she finds its young depressed manager's mother an unrelenting psycho.::J. S. Golden
Phoenix-based Marion Crane, who has for ten years worked as an assistant to real estate agent George Lowery, laments the fact she and her divorced boyfriend, Sam Loomis, can't get married due to money issues, he a penniless hardware store clerk whose debt is a result of having to pay alimony. Marion senses an opportunity when one of Lowery's wealthy clients pays his account with forty thousand dollars cash, Marion is tasked with taking the money to the bank. Being a Friday afternoon, Marion believes she can slip out of town immediately undetected with the money to join Sam in Fairvale, California where he lives, before Lowery would even suspect that she has absconded with the money the earliest by Monday. Despite several close calls, Marion is able to make it to fifteen miles short of Fairvale at the Bates Motel, where she stops on the rainy Saturday night. The isolated motel has had little business ever since the state highway was moved. The motel is run by friendly, but lonely Norman Bates, who lives with with his invalid mother in the big, old house on the hill overlooking the motel. Although she doesn't meet Mrs. Bates, Marion knows that she is an angry, controlling woman based on an argument she overhears between her and Norman. Norman admits that his mother is mentally mad. That evening, Marion has a change of heart and contemplates returning to Phoenix to return the money. But she never makes it either to Phoenix or Fairvale. As such, several people come looking for her, including Sam, who is suspected of being in cahoots with Marion in stealing the money, Marion's worried sister Lila Crane, who is able to convince Lowery not to press charges if Marion returns the money, and a private investigator named Arbogast who was hired by Lowery. At various times, they all make their way to the mysterious Bates Motel, where Mrs. Bates will do whatever required to maintain control of what happens at the motel and within her family.::Huggo
For Marion Crane, it's been quite an eventful day. The day before, she had stolen forty thousand dollars from her employer's client, packed her bags and driven all day on her way to join her paramour several hundred miles away. Now, she is taking a relaxing hot shower after her long day's journey. The remoteness of the motel suit her purposes perfectly. The only sounds heard are the chirping of the crickets, the splashing of the water, and her humming contentedly as the hot needles of water caress her aching shoulders.::filmfactsman
Marion Crane is a Phoenix, Arizona working girl fed up with having to sneak away during lunch breaks to meet her lover, Sam Loomis, who cannot get married because most of his money goes towards alimony. One Friday, Marion's employer asks her to take forty thousand dollars in cash to a local bank for deposit. Desperate to make a change in her life, she impulsively leaves town with the money, determined to start a new life with Sam in California. As night falls and a torrential rain obscures the road ahead of her, Marion turns off the main highway. Exhausted from the long drive and the stress of her criminal act, she decides to spend the night at the desolate Bates Motel. The motel is run by Norman Bates, a peculiar young man dominated by his invalid mother. After Norman fixes her a light dinner, Marion goes back to her room for a shower.::passionate_libra21"
186,"Blues Brothers, The (1980)",The Blues Brothers,"Jake Blues rejoins with his brother Elwood after being released from prison, but the duo has just days to reunite their old R&B band and save the Catholic home where the two were raised, outrunning the police as they tear through Chicago.
After the release of Jake Blues from prison, he and brother Elwood go to visit ""The Penguin"", the last of the nuns who raised them in an orphanage. They learn the Archdiocese will stop supporting the school and will sell the place to the Education Authority. The only way to keep the place open is if the $5000 tax on the property is paid within 11 days. The Blues Brothers want to help, and decide to put their blues band back together and raise the money by staging a big gig. As they set off on their ""mission from God"" they seem to make more enemies along the way. Will they manage to come up with the money in time?::Sami Al-Taher <staher2000@yahoo.com>
Fresh out of the slammer, Jake Blues, along with his brother Elwood, visit the Catholic home where they both grew up. They find out that it will soon shut down because of lack of funds and support. One misguided spiritual revelation later, they go in search of reuniting their old blues band and raise the $5000 to pay off the home's taxes. As they go on their way to perform in the perfect big-paying gig for the group, their adventure takes many unexpected detours and encounters with zany characters, the police, revenge-seeking militant groups, angry country singers and psychotic former girlfriends.::Marielle <msaz.movies@gmail.com>
After three long years in the Joliet Penitentiary, Jake Blues reunites with his brother, Elwood: the other half of the ""Blues Brothers"", their small R&B band. Reared in a Catholic orphanage, the brothers pay a visit to the old place, only to find out that the institution is in jeopardy unless they raise $5,000 to pay the taxes. With this in mind, the Blues Brothers set out on a mission from God to salvage the orphanage by getting the band back together, playing at gigs where friends like Aretha Franklin, Cab Calloway, and Ray Charles, among many others, await in the most unlikely places. However, in this fund-raising quest, the brothers will be up against the forces of darkness, including a posse of suburban cops, a team of furious country singers, and a bunch of avenging Nazis. Now--against the backdrop of great music, endless car chases, and explosive destruction--will the Blues Brothers manage to save their beloved home?::Nick Riganas"
187,"Godfather: Part II, The (1974)",The Godfather: Part II,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.
The continuing saga of the Corleone crime family tells the story of a young Vito Corleone growing up in Sicily and in 1910s New York; and follows Michael Corleone in the 1950s as he attempts to expand the family business into Las Vegas, Hollywood and Cuba.::Keith Loh <loh@sfu.ca>
The life of Vito Corleone is shown as he becomes from a boy born in Sicily to one of the most respected mafia dons of New York while Micheal attempts to expand his business empire into Las Vegas, Florida and pre-revolution Cuba while facing his own personal problems trying to keep his collapsing marriage and relationship with his brother intact.::ahmetkozan
The continuation of the Godfather saga with two focuses: the ongoing story of the Corleone family, and Michael in particular, and Vito Corleone's (Michael's father) backstory. Regarding the ongoing Michael Corleone story, it is about seven years since the events that concluded The Godfather. With the murders of the heads of the other four New York / New Jersey families, the Corleone family has unassailable control in New York. The move to Nevada went smoothly and Michael Corleone controls several hotels and casinos in the state. Frank Pentageli, the man who runs Michael's interests in New York, comes to Michael, asking if he can take out the Rosato Brothers as they are infringing on Pentageli's turf and business interests. However, the Rosatos are backed by Hyman Roth, a business partner of Michael's and a long- time ally of Michael's father, Vito Corleone, and Michael refuses. An attempted assassination attempt is then carried out on Michael's life, in his own home. Michael investigates who is trying to kill him, and suspects that there is a traitor in his family. Meanwhile. Michael and Hyman Roth fly to Cuba to finalise some business deals there. The Cuban trip reveals all. In a story interwoven with the present day, we see the backstory to Vito Corleone. From how his parents and brother were murdered by a Don in their home town of Corleone in Sicily, to his escaping, as a boy, to New York, his adult life and his rise to Don Corleone.::grantss
The childhood of Vito Corleone and his rise from a petty criminal to the most powerful don in New York City during the early 20th century is depicted, whilst his son Don Michael Corleone succumbs to power, greed, and ruthlessness, all for the sake of pride and keeping the Corleone family intact.::goddangwatir"
188,Full Metal Jacket (1987),Full Metal Jacket,"A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.
A two-segment look at the effect of the military mindset and war itself on Vietnam era Marines. The first half follows a group of recruits in boot camp under the command of the punishing Gunnery Sergeant Hartman. The second half shows one of those recruits, Joker, covering the war as a correspondent for Stars and Stripes, focusing on the Tet offensive.::Scott Renshaw <as.idc@forsythe.stanford.edu>
The lives of several young men who undergo Marine Corps basic training and are then shipped off to Vietnam. The main character is J.T. 'Joker' Davis who, along with all the other new recruits, constantly has to deal with their demanding Drill Instructor, Gny. Sgt Hartman. One recruit in particular, Leonard 'Gomer Pyle' Lawrence, is having a particularly hard time, especially after DI Hartman punishes the entire squad anytime he screws up, which is often. It all leads to tragedy. Davis makes it through and soon finds himself in Vietnam working as a combat journalist where he gets to see the horrors of war first-hand during the Tet offensive.::garykmcd
The exploits of J.T. Davis in two distinct phases of his time associated to the Vietnam War are presented. He generally acts as an active observer of the proceedings around him, either by his own choice or by the design of others often in authority. The first phase is as a recruit in basic training for the US Marine Corps at Parris Island, where he receives the nickname Joker from his platoon drill sergeant Gunnery Sergeant Hartman for his sarcastic quips, generally muttered under his breath, usually mimicking John Wayne. He learns that Hartman's foul-mouthed and uncompromisingly harsh ways, probably a reflection of the Marines as an organization, is not to produce robotic troops as some may believe, but rather produce killing machines. Joker's time in basic training is largely affected by Hartman using overweight and slightly slow Private Leonard Lawrence as the platoon's whipping boy, Lawrence's nickname provided by Hartman being Gomer Pyle for his ineptness as a service member, much like his television character namesake. The second phase is in active duty in Vietnam - Da Nang - he assigned to write for Stars and Stripes. He is not to write exactly what he sees but to skew stories in a way to boost serviceman morale and to convince non-military people the reason for American political and thus military involvement in this region of the world, especially in many Americans seeing the war as futile. In covering what becomes the Tet offensive, Joker may come face to face with the kill or be killed mentality without it jibing either with his own outlook or his assigned job.::Huggo
A two-segment story that follows young men from the start of recruit training in the Marine Corps to the lethal cauldron known as Vietnam. The first segment follows Joker, Pyle and others as they progress through the hell of USMC boot-camp at the hands of the colorful, foul-mouthed Gunnery Sergeant Hartman. The second begins in Vietnam, near Hue, at the time of the Tet Offensive. Joker, along with Animal Mother, Rafterman and others, face threats such as ambush, booby traps, and Viet Cong snipers as they move through the city.::Derek O'Cain
Full Metal Jacket begins by following the trials and tribulations of a platoon of fresh Marine Corps recruits focusing on the relationship between Gunnery Sergeant Hartman and Privates Pyle and Joker. We see Pyle grow into an instrument of death as Hartman has foreseen of all of his recruits. Through Pyle's torment and Joker's unwillingness to stand up against it the climax of part one is achieved with all three main characters deciding their fates by their action or inaction. The second chapter delves into Joker's psyche and the repeated referral to the fact that he joined the Corps to become a killer. When his mostly behind the scenes job as a combat correspondent is interfered with by the Tet offensive he is thrust into real combat and ultimately must decide if he really is a killer.::FMJ_Joker
During the Vietnam War private 'Joker' -the narrator, a future author- and his class are put through the US Marine indoctrination and training under DI Gunnery Sergeant Hartman's verbally and physically abusive, sex-obsessed style. It's all far worse for fat simpleton Pyle, who keeps doing everything wrong, even when gentle Joker is appointed his personal tutor, until peer pressure becomes group bullying. On their last day at Paris Island, when everyone graduates, the psychological time-bomb explodes. Only intellectual Joker isn't assigned to jungle duty but as military war correspondent. He's unwilling to play the deceptive propaganda game and violence catches up even in the 'safe' city Hue.::KGF Vissers"
189,"Grand Day Out, A (1992)","Grand Day Out, A (1992)","Grand Day Out, A (1992)"
190,Henry V (1989),Henry V,"In the midst of the Hundred Years War, the young King Henry V of England embarks on the conquest of France in 1415.
King Henry V of England (Sir Kenneth Branagh) is insulted by King Charles VI of France (Paul Scofield). As a result, he leads his army into battle against France. Along the way, the young King must struggle with the sinking morale of his troops and his own inner doubts. The war culminates at the bloody Battle of Agincourt.::Liza Esser <essereli@student.msu.edu>
The heroic and ruthless King Henry V of England (Sir Kenneth Branagh) determines to lay claim to the kingdom of France. Henry's self-doubt and the diminished morale of his army stand in the way of a victory that would unite the two countries and provide Henry with a Queen. However, his sheer determination and his impassioned speeches ready his men for the bloodiest of battles, Agincourt.::Jwelch5742
Young King Henry V of England (Sir Kenneth Branagh) invades France in order to claim his right to a kingdom and to the daughter, Princess Katherine de Valois (Dame Emma Thompson), of King Charles VI of France (Paul Scofield) in this second movie adaptation of the Shakespearean play. Henry's small but embattled army meet the French forces on the field of Agincourt.::Keith Loh <loh@sfu.ca>
The still young King Henry V of England (Sir Kenneth Branagh), intending to tax the English church, is sent off to war by the Bishops to enforce the (doubtful) claim to France. The King, thus sure of devine blessing for his cause, wages war on the French all too proud in overpowing strength. After the Battle of Agincourt, King Charles VI of France (Paul Scofield) has to yield his daughter, Princess Katherine de Valois (Dame Emma Thompson) as a peace offering. In a bitter satire, this political marriage is then portrayed as the happy ending joining the two recent lovers.::Stephan Elser"
191,Amadeus (1984),Amadeus,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was insanely jealous of Mozart's talent and claimed to have murdered him.
Antonio Salieri believes that Wolfgang Amadeus Mozart's music is divine and miraculous. He wishes he was himself as good a musician as Mozart so that he can praise the Lord through composing. He began his career as a devout man who believes his success and talent as a composer are God's rewards for his piety. He's also content as the respected, financially well-off, court composer of Austrian Emperor Joseph II. But he's shocked to learn that Mozart is such a vulgar creature, and can't understand why God favored Mozart to be his instrument. Salieri's envy has made him an enemy of God whose greatness was evident in Mozart. He is ready to take revenge against God and Mozart for his own musical mediocrity.::Khaled Salem
Claiming to have murdered the composer Wolfgang Amadeus Mozart, the elderly Antonio Salieri recounts to a priest his dealings with the brilliant composer. Salieri was court composer to Austrian Emperor Joseph II when Mozart and he first met. The Emperor, a major patron of the arts, immediately commissioned Mozart to write an opera in German, rather than the customary Italian. Mozart is childish, arrogant, annoying and brilliant all at once and Salieri is simultaneously in awe and green with envy at his genius. Salieri uses Mozart's difficult relationship with his father and his guilt over being a bad son to drive him slightly mad and into a downward spiral of ill health, leading to his death.::garykmcd
It is the early 19th century. An old man is thrown into an insane asylum after trying to commit suicide. He is Antonio Salieri and in the asylum he is visited by a priest, to whom he confesses that he killed Mozart. He then recounts his time as court composer to Emperor Joseph II of Austria. Mozart appears at the court and is hired by the Emperor to produce an opera. His genius is quite evident. Salieri is a devout Christian man and believes all musical talent and inspiration is given by God. Mozart's personal life and extracurricular activities appall Salieri. He cannot reconcile Mozart's talent and his lifestyle and sets out to drive him from the court. Initially his aim is to undermine him but over time his intentions turn deadlier.::grantss
Wolfgang Amadeus Mozart is a remarkably talented young Viennese composer who unwittingly finds a fierce rival in the disciplined and determined Antonio Salieri. Resenting Mozart for both his hedonistic lifestyle and his undeniable talent, the highly religious Salieri is gradually consumed by his jealousy and becomes obsessed with Mozart's downfall, leading to a devious scheme that has dire consequences for both men.::Jwelch5742"
192,Raging Bull (1980),Raging Bull,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.
When Jake LaMotta steps into a boxing ring and obliterates his opponent, he's a prizefighter. But when he treats his family and friends the same way, he's a ticking time bomb, ready to go off at any moment. Though LaMotta wants his family's love, something always seems to come between them. Perhaps it's his violent bouts of paranoia and jealousy. This kind of rage helped make him a champ, but in real life, he winds up in the ring alone.::alfiehitchie
The story of middleweight boxing champion Jake LaMotta, famously dubbed, ""The Raging Bull"" and ""The Bronx Bull"". Martin Scorsese's ""Raging Bull"" chronicles two decades of his life, and how the violence inside the ring was only an extension of his violence and temper outside of it.::Liam Alexander
The life of Bronx-based Jake LaMotta during his professional middleweight boxing career from 1941 to the mid-1950s, and his immediate post-boxing life is dramatized. Managed for most of his boxing career by his brother Joey LaMotta, Jake has the goal not only of getting the title fight at almost any cost - the one thing he unwilling to do to demonstrate that he is the best and in his ""my way or the high way"" mentality is to be knocked out, even if it is for a longer term benefit - but also to have the most fame possible, which means the improbable fantasy of becoming a heavyweight. While not managed by them, much of his career is affected by his and Joey's mafia connections. Despite his boxing prowess, Jake, to reach his own personal goals, has to overcome his disagreements with what the mafia wants and his own brutish behavior, which spills over into his personal life. That personal life shown largely is during the time of what is his second marriage, to Vickie LaMotta, a girl he spotted in the neighborhood. Their relationship is punctuated by jealousy and paranoia on Jake's side, he who becomes to believe that Vickie is sleeping with every man to who she pays any attention, those feelings by Jake which leads to emotional and physical abuse.::Huggo"
193,"Right Stuff, The (1983)",The Right Stuff,"The U.S. space program's development from the breaking of the sound barrier to selection of the Mercury 7 astronauts, from a group of test pilots with a more seat-of-the-pants approach than the program's more cautious engineers preferred.
Tom Wolfe's book on the history of the U.S. Space program reads like a novel, and the film has that same fictional quality. It covers the breaking of the sound barrier by Chuck Yeager to the Mercury 7 astronauts, showing that no one had a clue how to run a space program or how to select people to be in it. Thrilling, funny, charming and electrifying all at once.::John Vogel <jlvogel@comcast.net>
The first seven Mercury astronauts: we go behind the prepackaged, unblemished saints we knew through the media to find imperfect human beings who were actually even more heroic. The astronauts are heroes, no doubt about it. As space pioneer Chuck Yeager bitterly points out, these men all knew the risks they were taking as they rode their primitive capsules into space. They knew they were powered by rockets that could explode them into the tiniest of atoms. There were the fierce fires of re-entry that could reduce them to cinders, as well as the possibility of no re-entry, leaving them to perish miserably in their orbits. Yet these men eagerly took those risks. They were made of the right stuff.::alfiehitchie
The story of the beginnings of the US space program and the first seven Mercury astronauts. The space began when Chuck Yeager broke the sound barrier. It was after the Soviets successfully launched the Sputnik satellite in 1959, that the U.S. redoubled its efforts to catch up. After rigorous testing, 7 pilots were selected for the program. They instantly became the modern day equivalent of rock stars, appearing on television and having articles written about them in Life magazine. The work was serious however and dangerous, given the poor record the missile designers faced with multiple failures before finally getting a successful launch. There is a good deal of rivalry among the USA's first astronauts, some quite serious as ambitions and different values come into play.::garykmcd
The post-WWII period in the US is a time of grandeur and hope, wanting to do things bigger and better than had ever been done before. Within the military, this attitude applies largely to flight, where there is a continual race not only to fly faster and higher, but do it first and especially before the Soviets. The men that are going to achieve these feats are the ones with the ""right stuff"". One of those initial targets is to break the sound barrier - Mach 1 - with pilots in the newly commissioned US Air Force at Edwards Air Force Base in California primarily those attempting the feat, many who will die in the process. But with what is happening in the Soviet Union will accelerate the American space program, which will largely usurp the political and public consciousness on those aeronautic feats. However, many within the space program and many pilots downgrade the importance of ""man behind the wheel"" in getting into space. Regardless, many pilots apply for the seven positions within the first American space program - Mercury - the seven chosen who do whatever they can to make flying expertise an important aspect of the job. In all these situations, the support from the women behind the men is demonstrated, they who have the continual fact of one in four not making it back from a flight in the front of their minds. The motivations of the individuals comprising the pilots, the astronauts and the wives are also shown.::Huggo
This adaptation of the non-fiction novel by Tom Wolfe chronicles the first 15 years of America's space program. By focusing on the lives of the Mercury astronauts, including John Glenn and Alan Shepard, the film recounts the dangers and frustrations experienced by those involved with NASA's earliest achievements. It also depicts their family lives and the personal crises they endured during an era of great political turmoil and technological innovation.::Jwelch5742"
194,"Sting, The (1973)",The Sting,"Two grifters team up to pull off the ultimate con.
Johnny Hooker, a small time grifter, unknowingly steals from Doyle Lonnegan, a big time crime boss, when he pulls a standard street con. Lonnegan demands satisfaction for the insult. After his partner, Luther, is killed, Hooker flees, and seeks the help of Henry Gondorff, one of Luther's contacts, who is a master of the long con. Hooker wants to use Gondorff's expertise to take Lonnegan for an enormous sum of money to even the score, since he admits he ""doesn't know enough about killing to kill him."" They devise a complicated scheme and amass a talented group of other con artists who want their share of the reparations. The stakes are high in this game, and our heroes must not only deal with Lonnegan's murderous tendencies, but also other side players who want a piece of the action. To win, Hooker and Gondorff will need all their skills...and a fair amount of confidence.::headlessannie
Following the murder of a mutual friend, aspiring con man Johnny Hooker teams up with old pro Henry Gondorff to take revenge on the ruthless crime boss responsible, Doyle Lonnegan. Hooker and Gondorff set about implementing an elaborate scheme, one so crafty that Lonnegan won't even know he's been swindled. As their big con unfolds, however, things don't go according to plan, requiring some last-minute improvisation by the undaunted duo.::Jwelch5742
When the gang are coming up with a way to get Lonnegan, Kid Twist mentions that Riley and Cole are the only torpedoes they know of. Then how did they know that Loretta Salino was also a torpedo after she was shot by the guy sent by Gondorff?::Frank
Johnny Hooker is a young con-man who is being taught by Luther. One day they pull one of their con jobs and net themselves a huge roll. What they don't know is that the man they conned is the courier for a numbers runner. And it turns out that the boss, Doyle Lonigan, considers it an attack on him and orders all the people involved terminated. Hooker is shaken down by a crooked cop, Snyder, who threatens to turn him over to Lonigan unless he pays him off. Hooker pays him, he then tries to warn Luther but is too late. He then goes to see Henry Gondorf, a friend of Luther's and a one time great con-man, who has had a bit of bad luck. After hearing what happened to Luther and seeing how hungry Hooker is for payback, he assembles a gang and decides to con Lonigan. While everything seems to be going ok, there is just the problem of the hit on Hooker and Snyder, whom Hooker paid off with counterfeit money.::rcs0411@yahoo.com
It's September, 1936. The place: Joliet, Illinois. Luther Coleman, his apprentice Johnny Hooker, and their underling Joe Erie's latest swindle has netted them $11,000, enough for an aged Luther to contemplate retiring from grifting. They are unaware however that that money belonged to ruthless racketeer Doyle Lonnegan, whose thugs kill Luther in retaliation. Before Luther's death, he suggested to Hooker that he contact Henry Gondorff, his old friend in Chicago to learn the art of the big con. Hooker does contact Gondorff, who has retired after being burned in his last big con. Gondorff decides to come out of retirement solely to help Hooker get back at Lonnegan for Luther's murder. In pulling off the big con, Gondorff and Hooker require the assistance of a number of Gondorff's old associates as well as a number of small time grifters. In the latter group includes Erie, who wants to do his small part in revenging Luther's death. Beyond Lonnegan or anyone else finding out about the con, there are many potential obstacles in pulling off the sting, such as a controlling and overly cautious Lonnegan wanting to do things his own way, and a number of people chasing after Hooker, including a crooked Joliet vice cop named Snyder, Lonnegan's lower level thugs and a hired hit man. Through the process, Hooker, who sees himself as being a wheeler dealer, may come across a better deal than that provided to him by Gondorff.::Huggo"
195,"Terminator, The (1984)",The Terminator,"A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation.
Sent back from a dystopian 2029--where the cold machines have conquered the entire world--to 1984 Los Angeles, the indestructible cyborg-assassin known as the ""Terminator"" commences his deadly mission to kill humankind's most important woman: the unsuspecting Sarah Connor. However, from the same war-torn post-apocalyptic future comes a battle-scarred defender--Kyle Reese, a brave soldier of the human Resistance Army--bent on stopping the cybernetic killer from eliminating the world's last hope. But, the Terminator has no feelings, he doesn't sleep, and above all, he won't stop until he carries out his grim task. Does our future lie in our past?::Nick Riganas
A cyborg is sent from the future on a deadly mission. He has to kill Sarah Connor, a young woman whose life will have a great significance in years to come. Sarah has only one protector - Kyle Reese - also sent from the future. The Terminator uses his exceptional intelligence and strength to find Sarah, but is there any way to stop the seemingly indestructible cyborg ?::Colin Tinto <cst@imdb.com>
In the future, Skynet, a computer system fights a losing war against the humans who built it and who it nearly exterminated. Just before being destroyed, Skynet sends a Terminator back in time to kill Sarah. The terminator can pass for human, is nearly indestructible, and has only one mission. One soldier is sent back to protect her from the killing machine. He must find Sarah before the Terminator can carry out it's mission.::John Vogel <jlvogel@comcast.net>
A cyborg assassin called ""The Terminator"" is sent back through time to 1984 to kill the seemingly innocent Sarah Connor--a significant woman in a bitter future war with a race of machines. If the Terminator succeeds, mankind is doomed. Sarah's only hope is a soldier from that post-apocalyptic war, who has chased the Terminator back through time. The future of the human race depends on which one finds her first.::Ed Martin <Yeti67@bookham.demon.co.uk>"
196,Dead Poets Society (1989),Dead Poets Society,"Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.
Painfully shy Todd Anderson has been sent to the school where his popular older brother was valedictorian. His roommate, Neil Perry, although exceedingly bright and popular, is very much under the thumb of his overbearing father. The two, along with their other friends, meet Professor Keating, their new English teacher, who tells them of the Dead Poets Society, and encourages them to go against the status quo. Each does so in his own way, and is changed for life.::Liz Jordan <c9310494@alinga.newcastle.edu.au>
A new English teacher, John Keating, is introduced to an all-boys preparatory school that is known for its ancient traditions and high standards. He uses unorthodox methods to reach out to his students, who face enormous pressures from their parents and the school. With Keating's help, students Neil Perry, Todd Anderson and others learn to break out of their shells, pursue their dreams and seize the day.::Jwelch5742"
197,"Graduate, The (1967)",The Graduate,"A disillusioned college graduate finds himself torn between his older lover and her daughter.
Benjamin Braddock returns home to California after successfully completing college. He gets a hero's welcome from his parents but Ben isn't quite sure what to do with the rest of his life. He is soon seduced by Mrs. Robinson, the wife of his father's partner, who methodically pursues the inexperienced young man. Soon, they are meeting regularly in hotel rooms. Warned by her to stay away from her daughter Elaine, his father goads him into taking her out on a date. He finds he quite likes Elaine but when she learns he's been having an affair with her own mother, she'll have nothing to do with him. He's smitten however and pursues her.::garykmcd
After a successful stint away at an eastern college, twenty-one year old Benjamin Braddock returns to his parents' Los Angeles area home a graduate. Although the world should be his oyster, Ben is instead in a state of extreme anxiety as he has no idea what to do with his life, which is made all the more difficult since everybody asks him what he plans on doing or tells him what he should do. In his confused state during which he would rather be alone to wallow in self-pity, he is easy prey for the aggressive Mrs. Robinson, the wife of his father's business partner who he's known all his life and who seduces him. Thinking about and then eventually succumbing to her advances only adds to his anxiety and confusion as he hides what they're doing from the rest of the world, and as he needs more than just sex in a relationship, sex which is all she wants from him. His confusion is lessened but his life becomes more complicated when he is reacquainted with Elaine Robinson, the Robinsons' daughter who too is home from college at Berkeley and who he has not seen since high school. Despite a rocky start directed largely by the wants of Mrs. Robinson, Ben and Elaine start to fall for each other. In this complicated situation, Ben has to try to figure out how at least to start to strive for what he believes should be that successful post-graduate life.::Huggo
Benjamin Braddock has just finished college and, back at his parents' house, he's trying to avoid the one question everyone keeps asking: What does he want to do with his life? An unexpected diversion crops up when he is seduced by Mrs. Robinson, a bored housewife and friend of his parents. But what begins as a fun tryst turns complicated when Benjamin falls for the one woman Mrs. Robinson demanded he stay away from, her daughter, Elaine.::Jwelch5742"
198,Nikita (La Femme Nikita) (1990),Nikita,"Convicted felon, Nikita, isn't going to jail; she's given a new identity and trained, stylishly, as a top secret spy/assassin.
An urgent life-or-death dilemma befalls Nikita--the feral street girl and violent drug addict--after killing a police officer at point blank. Hopeless, Nikita is given a new lease of life, when she reluctantly exchanges her doomed fate for a secret government program that promises to mould her into a cold-blooded assassin under the wing of her sadistic mentor, Bob. Now--with a new set of skills, a new identity, and lethally sophisticated looks--Nikita is the ultimate weapon and the perfect puppet for doing the government's dirty work; however, what happens if this trained killer chooses love over death?::Nick Riganas
A woman in a criminal gang is captured after killing a policeman during a botched robbery. She is sentenced to life in prison but while in prison she is approached by a government agent who intends to make her a secret agent. She reluctantly goes along with the idea.::grantss
Nikita is a young lady who with three Nihilist friends commit robbery and murder while on drugs. After her trial she is not executed or taken to prison, but to a school for special operatives. She is told that Nikita no longer exists and she will be trained to pay back society for what she has done, as a spy/assassin. She is trained for over two years and with no warning is handed a gun in a restaurant and told to kill the man at the next table as her handler leaves.::John Vogel <jlvogel@comcast.net>"
